1,Twitterbridge,4527.09
2,Kazu,258.79
3,Vimbo,9431.58
4,Cogilith,9599.72
5,Kimia,5097.83
6,Photobug,6599.03
7,Shuffletag,9130.35
8,Roodel,5270.61
9,Yodoo,8243.04
10,Gabtune,2410.16
11,Wordtune,4515.92
12,Zoomzone,1894.35
13,Kwideo,606.55
14,Voomm,4842.39
15,Meevee,6070.57
16,Thoughtsphere,3230.93
17,Eabox,9264.14
18,Wordtune,6335.64
19,Kamba,8582.09
20,Viva,7177.47
21,Yombu,5470.63
22,Blogtags,1830.35
23,Riffwire,1640.84
24,Wordpedia,2871.84
25,Dynabox,8907.95
26,Topiczoom,5172.8
27,Mydeo,6557.61
28,Jaloo,6119.81
29,Blogtags,6783.48
30,Voonder,9124.64
31,Livetube,1565.98
32,Fadeo,4336.39
33,Fivechat,9531.89
34,DabZ,6095.65
35,Eidel,7593.57
36,Eamia,6648.09
37,Quaxo,5393.16
38,Innotype,1026.98
39,Gigaclub,4452.27
40,Skalith,3898.43
41,Shufflester,9725.31
42,Muxo,5011.73
43,Thoughtbridge,432.63
44,Aibox,7901.95
45,Topiclounge,4586.49
46,Edgeify,1921.85
47,Leenti,7480.37
48,Devshare,1778.09
49,Gabcube,5607.56
50,Tagopia,2607.24
51,Wordware,2421.38
52,Eazzy,2371.8
53,Oyoyo,3470.3
54,Quire,4231.07
55,Voolia,8873.74
56,Topiclounge,8082.24
57,Jatri,3738.8
58,Skipstorm,2140.51
59,Blognation,8956.76
60,Leexo,1727.42
61,Dynazzy,650.99
62,Voomm,3299.81
63,Kwilith,2790.72
64,Janyx,5437.26
65,Pixope,972.94
66,Youbridge,2115.09
67,Tavu,9795.8
68,Gabvine,3052.34
69,Devshare,986.54
70,Thoughtmix,5737.01
71,Livefish,6374.05
72,Mydo,671.18
73,Brainlounge,1962.74
74,Zooveo,2478.62
75,Voonix,5808.93
76,Browseblab,6561.69
77,Blogtags,2959.36
78,Thoughtmix,4128.6
79,Realblab,3250.53
80,Gabspot,2256.25
81,Jabberbean,7977.75
82,Browsecat,4117.47
83,Twitterbridge,3727.67
84,Shufflester,2774.11
85,Quamba,1977.19
86,Thoughtbridge,9305.44
87,Linklinks,7238.07
88,Oodoo,3453.78
89,Edgetag,9762.62
90,Topicblab,6799.44
91,Thoughtstorm,5400.59
92,Brainlounge,2282.06
93,Livetube,4118.24
94,Twitterbridge,5463.29
95,Gabvine,3492.12
96,Oyondu,9568.17
97,Tagchat,5331.66
98,Twitterbridge,6322.69
99,Katz,5589.25
100,Mycat,7201.48
101,Linklinks,2204.85
102,Linkbuzz,890.11
103,Youbridge,2041.45
104,Ntag,5057.78
105,Yadel,6762.68
106,Tagchat,9205.27
